id,continent,country,subdivision,city,fact,summary,source,version
1,"","","","","","","",1
2,"Africa","","","","","","",1
3,"Asia","","","","","","",1
4,"Europe","","","","","","",1
5,"North America","","","","","","",1
6,"Oceania","","","","","","",1
7,"South America","","","","","","",1
8,"Oceania","Australia","","","","","",1
9,"Oceania","Australia","Australian Capital Territory","","","","",1
10,"Oceania","Australia","New South Wales","","Every day in Sydney over 800,000 people spend over 75 minutes on public transport","That's over 100 years spent checking facebook, reading the paper or looking out the window","Bureau of Transport Statistics, Transport for NSW",1
11,"Oceania","Australia","Northern Territory","","","","",1
12,"Oceania","Australia","Queensland","","","","",1
13,"Oceania","Australia","South Australia","","","","",1
14,"Oceania","Australia","Tasmania","","","","",1
15,"Oceania","Australia","Victoria","","","","",1
16,"Oceania","Australia","Western Australia","","","","",1
